id,smiles,pKi
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,6.42
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,6.42
ZINC000000002020,c1ccc2nc(N3CCNCC3)ccc2c1,5.43
ZINC000000004439,O=c1ccc2[nH]cc(C3=CCNCC3)c2[nH]1,5.66
ZINC000000005092,NCCc1c[nH]c2ccc(-c3nc(Cc4ccccc4)no3)cc12,8.2
ZINC000000005452,COc1ccc2[nH]cc(C[C@@H]3CCCN3C)c2c1,6.38
ZINC000000005455,CN(C)CCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,7.2
ZINC000000005933,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,9.52
ZINC000000009318,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,6.18
ZINC000000014692,Cc1noc(-c2ccc3[nH]cc(CCN)c3c2)n1,8.0
ZINC000000014693,CN(C)CCc1c[nH]c2ccc(-c3nc(Cc4ccccc4)no3)cc12,8.2
ZINC000000014694,Cc1noc(Cc2ccc3[nH]cc(CCN)c3c2)n1,7.5
ZINC000000014695,NCCc1c[nH]c2ccc(Cc3nc(Cc4ccccc4)no3)cc12,7.5
ZINC000000014696,NCCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,7.7
ZINC000000014697,NCCc1c[nH]c2ccc(Cc3nc(-c4ccccc4)no3)cc12,7.7
ZINC000000014698,NCCc1c[nH]c2ccc(CCc3nc(Cc4ccccc4)no3)cc12,8.3
ZINC000000014699,Cc1noc(CCCc2ccc3[nH]cc(CCN)c3c2)n1,8.3
ZINC000000014701,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,7.6
ZINC000000014702,NCCc1c[nH]c2ccc(CCc3nc(N)no3)cc12,8.0
ZINC000000016311,CN1CCN(Cc2ccc3[nH]cc(CCN)c3c2)S1(=O)=O,6.5
ZINC000000017124,c1cc2c(N3CCNCC3)nc3ccsc3n2c1,6.22
ZINC000000017125,CN1CCN(c2nc3ccsc3n3cccc23)CC1,6.4
ZINC000000018073,c1cc2[nH]cc(CCN3CCC3)c2cc1-n1cnnc1,8.96
ZINC000000018074,c1cc2[nH]cc(CCN3CCCC3)c2cc1-n1cnnc1,8.64
ZINC000000019264,c1cnc2c(c1)nc(N1CCNCC1)c1cccn12,5.77
ZINC000000019265,CN1CCN(c2nc3cccnc3n3cccc23)CC1,6.02
ZINC000000020380,CN(C)CCc1c[nH]c2ccc(-n3cnc4cccnc43)cc12,7.96
ZINC000000021198,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3N2O1,6.18
ZINC000000056464,FC(F)(F)c1cccc(N2CCNCC2)c1,6.21
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,7.31
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,7.31
ZINC000000394399,CN(C)CCc1c[nH]c2ccc(OCc3ccccc3)cc12,7.6
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,5.75
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,5.75
ZINC000000537877,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,6.59
ZINC000000587807,COc1ccc(NC(=O)N2CCC(c3c[nH]c4cc(F)ccc34)CC2)cc1N1CCN(C)CC1,6.7
ZINC000000587810,COc1ccc(NC(=O)N2CCC(c3c[nH]c4cccc(F)c34)CC2)cc1N1CCN(C)CC1,6.52
ZINC000000595147,C[C@H]1C[C@H](c2c[nH]c3cc(F)ccc23)CCN1CC[C@H]1OCCc2cc(C(N)=O)ccc21,7.55
ZINC000000595148,Cn1cc(C2=CCN(CC[C@H]3OCCc4cc(C(N)=O)ccc43)CC2)c2ccc(F)cc21,7.19
ZINC000000598510,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4nnc(C)o4)cc3C)cc2)cc1N1CCN(C)CC1,7.43
ZINC000000599299,CN(C)CCc1c[nH]c2ccc(CCc3nc(Cc4ccccc4)no3)cc12,7.9
ZINC000000599303,CNS(=O)(=O)c1ccc(Cc2noc(-c3ccc4[nH]cc(CCN)c4c3)n2)cc1,9.6
ZINC000000602165,O=C1CN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CCN1Cc1ccccc1,8.18
ZINC000000602342,CN(Cc1ccccc1)CC1(O)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,8.92
ZINC000000602478,COc1ccc(NC(=O)N2CCC(c3c[nH]c4ccc(F)cc34)CC2)cc1N1CCN(C)CC1,6.63
ZINC000000603789,NC(=O)c1ccc2c(c1)CCO[C@@H]2CCN1CC=C(c2c[nH]c3cc(F)ccc23)CC1,8.1
ZINC000000605248,CN(C)CCc1c[nH]c2ccc(CCN3CCN(C)S3(=O)=O)cc12,7.4
ZINC000000605252,CC(=O)Nc1ccc(CN2CCN(Cc3ccc4[nH]cc(CCN(C)C)c4c3)S2(=O)=O)cc1,7.7
ZINC000000607671,O=C1CN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CCN1CCc1ccccc1,8.28
ZINC000000836543,COc1ccc(NC(=O)N2CCN(c3ccccc3C)CC2)cc1N1CCN(C)CC1,7.32
ZINC000000836547,COc1ccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)cc1,6.64
ZINC000000841221,c1cnc(N2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)nc1,9.22
ZINC000000841701,O=c1[nH]c2ccccc2n1C1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,8.92
ZINC000001486791,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,9.4
ZINC000001486792,Fc1cccc(CCC2(F)CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,9.15
ZINC000001486793,FC1(Cc2ccccc2C(F)(F)F)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,9.7
ZINC000001486794,FC1(CCc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,8.7
