id,smiles,pKi
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,9.3
ZINC000000000509,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,8.7
ZINC000000000565,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,6.9
ZINC000000000627,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,8.6
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,7.96
ZINC000000001331,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,7.96
ZINC000000002001,CN(C)CCc1c[nH]c2cccc(O)c12,7.62
ZINC000000002020,c1ccc2nc(N3CCNCC3)ccc2c1,6.89
ZINC000000004893,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,9.04
ZINC000000004902,O=C(CC1CCN(CC2CC2)CC1)c1ccc(F)cc1,7.18
ZINC000000005455,CN(C)CCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,5.0
ZINC000000005895,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,5.2
ZINC000000008760,O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@@H]12,7.93
ZINC000000008795,Clc1ccc2c(c1)N1CCNC[C@H]1C2,7.49
ZINC000000008954,NCCc1cccc2c1ccn2S(=O)(=O)c1ccccc1,8.32
ZINC000000009097,C[C@@H](N)Cc1cn(C)c2ccc3c(c12)CCCO3,9.7
ZINC000000009253,O[C@H](c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2)CC1,8.79
ZINC000000009318,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,7.64
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,6.62
ZINC000000011266,O=C(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,8.07
ZINC000000013635,O[C@@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,6.08
ZINC000000014551,C[C@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.21
ZINC000000014669,C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.21
ZINC000000014701,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,6.4
ZINC000000016077,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1,6.2
ZINC000000016311,CN1CCN(Cc2ccc3[nH]cc(CCN)c3c2)S1(=O)=O,5.0
ZINC000000017124,c1cc2c(N3CCNCC3)nc3ccsc3n2c1,5.58
ZINC000000017125,CN1CCN(c2nc3ccsc3n3cccc23)CC1,5.89
ZINC000000019265,CN1CCN(c2nc3cccnc3n3cccc23)CC1,5.1
ZINC000000020240,CC(C)NC[C@@H](O)COc1cccc2ccccc12,6.38
ZINC000000020250,C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,7.72
ZINC000000021198,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3N2O1,7.64
ZINC000000021403,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,5.92
ZINC000000025902,c1ccc(CCCN2CCN(c3ccccn3)CC2)cc1,5.91
ZINC000000026029,Clc1ccc2c(c1)N1CCNC[C@@H]1C2,7.49
ZINC000000026677,CN(C)CCc1cccc2c1ccn2S(=O)(=O)c1ccccc1,7.74
ZINC000000026795,CCN1CCC(COc2nc3ccsc3n3cccc23)CC1,5.09
ZINC000000052443,COc1cccc2c(CCN)c[nH]c12,6.3
ZINC000000056647,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,7.72
ZINC000000057322,C[C@H](N)Cc1c[nH]c2ccc(F)cc12,8.07
ZINC000000057323,C[C@@H](N)Cc1c[nH]c2ccc(F)cc12,8.07
ZINC000000066085,Cc1ccc2[nH]cc(CCN)c2c1,8.22
ZINC000000077277,NCCc1c[nH]c2ccc(Cl)cc12,8.39
ZINC000000077278,NCCc1c[nH]c2ccc(F)cc12,8.58
ZINC000000077360,COc1ccc2c(CCN)c[nH]c2c1,5.61
ZINC000000111161,CN1CCC(N(C)S(=O)(=O)c2ccc(F)cc2)CC1,5.23
ZINC000000111168,COc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,6.08
ZINC000000112537,Cc1cccc2c(CCN)c[nH]c12,7.35
ZINC000000120144,NCCc1c[nH]c2ccccc12,8.13
ZINC000000139370,CC[C@@H](N)Cc1c[nH]c2ccccc12,5.9
ZINC000000141452,O=C(c1ccc(F)cc1)C1CCNCC1,6.28
ZINC000000155269,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,6.9
ZINC000000214426,Clc1ccccc1N1CCN(CCCc2ccccc2)CC1,6.02
ZINC000000216734,Clc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,6.29
ZINC000000216834,Clc1cccc(N2CCN(CCc3ccccc3)CC2)c1,7.28
ZINC000000256143,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,6.82
ZINC000000256144,Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,6.82
ZINC000000332024,C1=NCCc2c1[nH]c1ccccc21,5.67
ZINC000000332736,Cn1cc(CCN)c2ccccc21,6.68
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,6.08
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,6.08
ZINC000000389703,COc1ccc(OC)c(CCN)c1,5.55
ZINC000000402912,NCCc1c[nH]c2cc(F)ccc12,8.34
ZINC000000403683,C[C@H](N)Cc1c[nH]c2ccc(Cl)cc12,8.2
ZINC000000403684,C[C@@H](N)Cc1c[nH]c2ccc(Cl)cc12,8.2
ZINC000000403685,NCCc1c[nH]c2ccc(Br)cc12,8.29
ZINC000000404234,COc1ccc(Br)cc1CCN,6.68
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,7.72
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,7.72
ZINC000000488389,CCN(CC)CCc1c[nH]c2ccc(OC)cc12,7.38
ZINC000000538069,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl,7.31
ZINC000000538314,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,9.4
ZINC000000586739,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,7.31
ZINC000000590474,CN(C)CCc1cccc2c1cc(C(=O)c1ccccc1)n2S(=O)(=O)c1ccccc1,8.18
ZINC000000591988,O=C(N[C@@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1)c1ccc(F)cc1,6.33
ZINC000000591989,O[C@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)c2ccccc12,5.99
ZINC000000595350,O=C1[C@H]2CCCN2C(=O)CN1CN1CCN(c2cccc3ccccc23)CC1,7.87
ZINC000000596881,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.94
ZINC000000598062,CC(C)N1CCN(CCN2CCC(c3cn(-c4ccc(F)cc4)c4cc(Cl)ccc34)CC2)C1=O,8.82
ZINC000000601169,CN(CCOc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12)CCN1CCNC1=O,9.06
ZINC000000601172,CN(CCCN1CCNC1=O)CCc1cn(-c2ccc(F)cc2)c2cc(Cl)ccc12,8.72
ZINC000000601250,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.95
ZINC000000604739,O=c1[nH]c2ccc(CCN3CCN(c4cccc(C(F)(F)F)c4)CC3)cc2s1,6.7
ZINC000000604740,COc1ccccc1N1CCN(CCc2ccc3[nH]c(=O)sc3c2)CC1,6.52
ZINC000000605248,CN(C)CCc1c[nH]c2ccc(CCN3CCN(C)S3(=O)=O)cc12,5.6
ZINC000000605252,CC(=O)Nc1ccc(CN2CCN(Cc3ccc4[nH]cc(CCN(C)C)c4c3)S2(=O)=O)cc1,5.1
ZINC000000605469,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1nsc2ccccc12,6.19
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.95
