id,smiles,pKi
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br,7.35
ZINC000000000416,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,5.71
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,8.33
ZINC000000000565,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,5.67
ZINC000000000741,C[C@@H](N)Cc1ccc2c(c1)OCO2,6.45
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,8.33
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,7.25
ZINC000000002001,CN(C)CCc1c[nH]c2cccc(O)c12,7.24
ZINC000000002233,NCCc1ccc(O)cc1,5.1
ZINC000000004319,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,5.71
ZINC000000004448,Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,6.34
ZINC000000005993,Cn1ccc2c3c(ccc21)N(C(=O)Nc1cccnc1)CC3,7.8
ZINC000000006169,O=C(Nc1cccnc1)N1CCc2cc3sccc3cc21,8.0
ZINC000000007442,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2,7.89
ZINC000000008795,Clc1ccc2c(c1)N1CCNC[C@H]1C2,7.28
ZINC000000009097,C[C@@H](N)Cc1cn(C)c2ccc3c(c12)CCCO3,7.96
ZINC000000016912,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1,7.95
ZINC000000016916,Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)on1,7.16
ZINC000000018235,O=C(Nc1cccnc1)N1CCc2cc3[nH]ccc3cc21,7.5
ZINC000000020250,C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,7.37
ZINC000000020257,Cc1cccc(C)c1OC[C@@H](C)N,6.14
ZINC000000020603,Cc1coc2cc3c(cc12)CCN3C(=O)Nc1cccnc1,8.9
ZINC000000026029,Clc1ccc2c(c1)N1CCNC[C@@H]1C2,7.28
ZINC000000026795,CCN1CCC(COc2nc3ccsc3n3cccc23)CC1,8.01
ZINC000000056647,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,7.37
ZINC000000057062,Cc1cccc(C)c1OC[C@H](C)N,6.14
ZINC000000075126,Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,6.34
ZINC000000079582,CN(C)CCC(=O)c1ccccc1,5.32
ZINC000000120144,NCCc1c[nH]c2ccccc12,6.27
ZINC000000155269,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,5.67
ZINC000000185131,CN(C)CCN1CCc2ccccc21,6.57
ZINC000000256143,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,7.03
ZINC000000256144,Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,7.03
ZINC000000315185,CN(C)CCn1cnc2ccccc21,6.86
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,6.27
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,6.27
ZINC000000402865,COc1cc(C[C@H](C)N)c(OC)cc1Br,7.35
ZINC000000403010,C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,5.71
ZINC000000403011,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,5.71
ZINC000000403033,C[C@H](N)Cc1ccc2c(c1)OCO2,6.45
ZINC000000403035,COc1ccc(C[C@H](C)N)cc1,5.16
ZINC000000403036,COc1ccc(C[C@@H](C)N)cc1,5.16
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,7.12
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,7.12
ZINC000000506291,CN1CCC2(CC1)Oc1ccccc1[C@H]1CC(c3ccccc3)=NN12,7.3
ZINC000000506292,CN1CCC2(CC1)Oc1ccccc1[C@@H]1CC(c3ccccc3)=NN12,7.3
ZINC000000596881,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.36
ZINC000000601250,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.72
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.45
ZINC000000643055,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.36
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.45
ZINC000000934777,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccccc3)=NN12,7.04
ZINC000000934778,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccccc3)=NN12,7.04
ZINC000000934789,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccco3)=NN12,5.3
ZINC000000934790,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccco3)=NN12,5.3
ZINC000000934805,COc1cccc2c1OC1(CCN(C)CC1)N1N=C(c3ccc(F)cc3)C[C@H]21,7.34
ZINC000000934806,COc1cccc2c1OC1(CCN(C)CC1)N1N=C(c3ccc(F)cc3)C[C@@H]21,7.34
ZINC000000934809,COc1cccc2c1OC1(CCN(C)CC1)N1N=C(c3ccc(Cl)cc3)C[C@H]21,5.83
ZINC000000934810,COc1cccc2c1OC1(CCN(C)CC1)N1N=C(c3ccc(Cl)cc3)C[C@@H]21,5.83
ZINC000000968276,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@@H]3SC(=O)NC3=O)cc1)O2,6.08
ZINC000000968277,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)NC3=O)cc1)O2,6.08
ZINC000000968278,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2,6.08
ZINC000000968279,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2,6.08
ZINC000001481844,C[C@@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1,5.49
ZINC000001504346,c1ccc(-n2cc(-c3ccnc4ccccc34)cn2)cc1,5.8
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,7.82
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,7.82
ZINC000001530695,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,7.09
ZINC000001530697,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,7.09
ZINC000001530725,Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,5.51
ZINC000001530726,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1,5.51
ZINC000001530751,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,6.3
ZINC000001530752,CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,6.3
ZINC000001530759,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,7.24
ZINC000001530760,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,7.24
ZINC000001530830,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,7.13
ZINC000001542901,Cc1cc2c(OC[C@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.01
ZINC000001545565,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,8.7
ZINC000001550393,CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,7.28
ZINC000001586284,COc1ccc(OC)c(C[C@H](C)N)c1,6.83
ZINC000001587881,COc1ccccc1C[C@H](C)N,5.54
ZINC000001604329,COc1cccc(C[C@@H](C)N)c1,5.92
ZINC000001668943,COc1cc(C[C@H](C)N)cc(OC)c1OC,5.6
ZINC000001692965,COc1cccc(C[C@@H](C)N)c1OC,5.54
ZINC000001692966,COc1cc(C[C@@H](C)N)ccc1O,5.45
ZINC000001728063,COc1ccc(C[C@H](C)N)cc1OC,5.45
ZINC000001841010,COc1ccc(OC)c(C[C@@H](C)N)c1,6.83
ZINC000001850907,COc1cc(C[C@@H](C)N)cc(OC)c1OC,5.6
ZINC000001872016,COc1cc(OC)c(SC)cc1C[C@H](C)N,5.77
ZINC000001912758,CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,6.7
ZINC000001995685,CNCCc1c[nH]c2ccccc12,5.97
ZINC000002003734,CN(C)CCCc1ccccc1,5.09
ZINC000002009554,COc1ccc2[nH]cc(C[C@H](C)N)c2c1,8.57
ZINC000002009555,COc1ccc2[nH]cc(C[C@@H](C)N)c2c1,8.57
ZINC000002012156,C[C@H](N)Cc1c[nH]c2ccc(O)cc12,8.38
ZINC000002012157,C[C@@H](N)Cc1c[nH]c2ccc(O)cc12,8.38
ZINC000002012331,CCN(CCN(C)C)c1ccccc1,6.27
ZINC000002015683,COc1cc(OC)c(C[C@H](C)N)c(OC)c1,6.28
ZINC000002015684,COc1cc(OC)c(C[C@@H](C)N)c(OC)c1,6.28
ZINC000002015685,COc1cc(OC)c(OC)cc1C[C@H](C)N,6.81
ZINC000002015686,COc1cc(OC)c(OC)cc1C[C@@H](C)N,6.81
ZINC000002015688,COc1ccc(C[C@H](C)N)c(OC)c1OC,5.07
ZINC000002015689,COc1ccc(C[C@@H](C)N)c(OC)c1OC,5.07
ZINC000002019529,C[C@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1,5.49
ZINC000002032320,Cc1cc2c(OC[C@@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,6.01
ZINC000002035314,COc1ccc2[nH]cc([C@H](C)CN)c2c1,8.08
ZINC000002041024,COc1ccc(C[C@@H](C)N)cc1OC,5.45
ZINC000002379519,C[C@@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,8.6
ZINC000002530693,COc1cc(C[C@H](C)N)c(OC)cc1I,8.7
ZINC000002560537,CN(C)CCNc1ccccc1,6.02
ZINC000003051297,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,6.0
ZINC000003644762,COc1cc(C[C@H](C)N)ccc1O,5.45
ZINC000003683831,CN1CCC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,6.49
