id,smiles,pKi
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br,8.55
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,9.22
ZINC000000000509,CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,8.26
ZINC000000000565,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,6.55
ZINC000000000741,C[C@@H](N)Cc1ccc2c(c1)OCO2,5.68
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,9.22
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,7.62
ZINC000000001331,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,7.62
ZINC000000002001,CN(C)CCc1c[nH]c2cccc(O)c12,7.52
ZINC000000003309,C[C@@H](Oc1cncc(N2CCNCC2)n1)c1cccc(F)c1,8.1
ZINC000000004035,Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,5.31
ZINC000000004439,O=c1ccc2[nH]cc(C3=CCNCC3)c2[nH]1,5.19
ZINC000000004448,Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,5.3
ZINC000000004893,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,8.61
ZINC000000005092,NCCc1c[nH]c2ccc(-c3nc(Cc4ccccc4)no3)cc12,5.4
ZINC000000005452,COc1ccc2[nH]cc(C[C@@H]3CCCN3C)c2c1,5.92
ZINC000000005475,Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21,6.91
ZINC000000005895,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,5.1
ZINC000000006169,O=C(Nc1cccnc1)N1CCc2cc3sccc3cc21,8.1
ZINC000000007453,COc1cc(N)nc2[nH]c(-c3ccc(F)cc3)c(-c3ccncc3)c12,6.19
ZINC000000008795,Clc1ccc2c(c1)N1CCNC[C@H]1C2,7.51
ZINC000000009097,C[C@@H](N)Cc1cn(C)c2ccc3c(c12)CCCO3,8.57
ZINC000000009253,O[C@H](c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2)CC1,6.3
ZINC000000009262,c1cc2c3c(c1)c1c(n3CCNC2)CCCC1,6.58
ZINC000000009307,CCOc1ccc2c(c1)c(C[C@H](C)N)c1n2CCC1,8.4
ZINC000000009318,CN(C)C[C@@H]1C[C@H]2c3ccccc3Cc3ccccc3N2O1,7.91
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,6.35
ZINC000000011266,O=C(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,6.84
ZINC000000014360,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,8.14
ZINC000000014692,Cc1noc(-c2ccc3[nH]cc(CCN)c3c2)n1,5.9
ZINC000000014694,Cc1noc(Cc2ccc3[nH]cc(CCN)c3c2)n1,5.9
ZINC000000014696,NCCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,5.5
ZINC000000014698,NCCc1c[nH]c2ccc(CCc3nc(Cc4ccccc4)no3)cc12,6.1
ZINC000000014701,CN(C)CCc1c[nH]c2ccc(Cc3nc(N)no3)cc12,5.9
ZINC000000016077,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1,7.8
ZINC000000017124,c1cc2c(N3CCNCC3)nc3ccsc3n2c1,7.46
ZINC000000017125,CN1CCN(c2nc3ccsc3n3cccc23)CC1,6.62
ZINC000000017154,O=C(CCCN1CCC(Cc2ccccc2)CC1)c1ccc(F)cc1,5.78
ZINC000000018235,O=C(Nc1cccnc1)N1CCc2cc3[nH]ccc3cc21,6.9
ZINC000000019264,c1cnc2c(c1)nc(N1CCNCC1)c1cccn12,6.57
ZINC000000019265,CN1CCN(c2nc3cccnc3n3cccc23)CC1,6.56
ZINC000000020240,CC(C)NC[C@@H](O)COc1cccc2ccccc12,5.92
ZINC000000020250,C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C,8.19
ZINC000000020603,Cc1coc2cc3c(cc12)CCN3C(=O)Nc1cccnc1,8.6
ZINC000000021198,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3N2O1,7.91
ZINC000000026029,Clc1ccc2c(c1)N1CCNC[C@@H]1C2,7.51
ZINC000000026795,CCN1CCC(COc2nc3ccsc3n3cccc23)CC1,5.25
ZINC000000056464,FC(F)(F)c1cccc(N2CCNCC2)c1,6.82
ZINC000000056647,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,8.19
ZINC000000075126,Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,5.3
ZINC000000084072,c1ccc2c(C3CCNCC3)c[nH]c2c1,6.89
ZINC000000111161,CN1CCC(N(C)S(=O)(=O)c2ccc(F)cc2)CC1,5.6
ZINC000000111168,COc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,5.73
ZINC000000140722,COc1ccc2[nH]c(C)c(CCN)c2c1,6.16
ZINC000000141452,O=C(c1ccc(F)cc1)C1CCNCC1,5.96
ZINC000000154399,C1=C(c2c[nH]c3ccccc23)CCNC1,6.79
ZINC000000155174,Clc1ccc(C2=CCNCC2)cc1,5.75
ZINC000000155269,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,6.55
ZINC000000158157,COc1ccccc1C1CCNCC1,5.74
ZINC000000256143,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,6.92
ZINC000000256144,Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,6.92
ZINC000000332024,C1=NCCc2c1[nH]c1ccccc21,5.96
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4,5.97
ZINC000000338140,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@H]3N(C)CC2)OCO4,5.97
ZINC000000346678,CN1CCC(C(=O)c2ccc(F)cc2)CC1,5.82
ZINC000000389703,COc1ccc(OC)c(CCN)c1,5.26
ZINC000000402865,COc1cc(C[C@H](C)N)c(OC)cc1Br,8.55
ZINC000000403033,C[C@H](N)Cc1ccc2c(c1)OCO2,5.68
ZINC000000404234,COc1ccc(Br)cc1CCN,6.02
ZINC000000404450,C[C@H](N)Cc1c[nH]c2ccccc12,6.97
ZINC000000404451,C[C@@H](N)Cc1c[nH]c2ccccc12,6.97
ZINC000000488389,CCN(CC)CCc1c[nH]c2ccc(OC)cc12,7.8
ZINC000000537887,O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,6.46
ZINC000000593410,Cc1cn(-c2cccc(Nc3ncnc4c3CCc3ccccc3-4)c2)cn1,8.9
ZINC000000596881,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.2
ZINC000000601250,Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.84
ZINC000000604739,O=c1[nH]c2ccc(CCN3CCN(c4cccc(C(F)(F)F)c4)CC3)cc2s1,7.22
ZINC000000604740,COc1ccccc1N1CCN(CCc2ccc3[nH]c(=O)sc3c2)CC1,6.52
ZINC000000604816,O=C(NCCN1CCC(C(=O)c2ccc(F)cc2)CC1)Nc1ccccc1,6.7
ZINC000000607971,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.56
ZINC000000643055,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.2
ZINC000000896650,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,6.39
ZINC000000896663,N[C@H]1C[C@@H]1c1ccccc1,5.57
ZINC000000896666,N[C@H]1C[C@H]1c1ccccc1,5.57
ZINC000000896740,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.56
