id,smiles,pKi
ZINC000000000848,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CN2CCC1CC2,6.8
ZINC000000003961,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CN2CCC1CC2,7.25
ZINC000000004035,Cc1nccn1C[C@H]1CCc2c(c3cccc4c3n2CCC4)C1=O,6.02
ZINC000000004448,Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,5.92
ZINC000000004620,CCn1c(=O)n(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C)c2ccccc21,8.0
ZINC000000005108,Nc1c(Cl)cc(C(=O)N[C@H]2CN3CCC2CC3)c2c1CCO2,6.94
ZINC000000006321,Nc1c(Cl)cc(C(=O)NCCC23CCCN2CCC3)c2c1CCO2,7.85
ZINC000000008980,CCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,7.79
ZINC000000009350,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,6.21
ZINC000000014556,CC(C)n1c(=O)n(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C)c2ccccc21,7.9
ZINC000000021019,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@@H](C)C[C@H](C)C1,9.59
ZINC000000021020,COc1cc(N)c(Cl)cc1C(=O)OCCN1C[C@H](C)C[C@@H](C)C1,9.59
ZINC000000021660,Nc1c(Cl)cc(C(=O)O[C@H]2CN3CCC2CC3)c2c1CCO2,7.03
ZINC000000021661,Nc1c(Cl)cc(C(=O)OCCN2CCCCC2)c2c1CCO2,9.03
ZINC000000021662,Nc1c(Cl)cc(C(=O)NCCN2CCCCC2)c2c1CCO2,7.45
ZINC000000026795,CCN1CCC(COc2nc3ccsc3n3cccc23)CC1,7.72
ZINC000000075126,Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,5.92
ZINC000000385642,O=C(N[C@H]1CN2CCC1CC2)c1cc(Br)cc2[nH]cnc12,6.77
ZINC000000385643,O=C(N[C@@H]1CN2CCC1CC2)c1cc(Br)cc2[nH]cnc12,7.42
ZINC000000404157,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCNC[C@H]1OC,7.72
ZINC000000404160,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,7.72
ZINC000000590651,CC(C)n1nc(C(=O)NCC2CCN(CCC3CCCCC3)CC2)c2ccccc21,9.8
ZINC000000600432,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1,8.8
ZINC000000602516,C[C@@H](O)CCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,9.1
ZINC000000608261,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,6.98
ZINC000000895330,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,8.01
ZINC000001493859,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccccn3)CC2)c2ccccc21,10.0
ZINC000001530579,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,6.74
ZINC000001530580,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,6.74
