id,smiles,pKi
CHEMBL246873,Clc1ccc(C2CNCc3cc(OCCCN4CCCCC4)ncc32)cc1,6.85
CHEMBL405349,CCOc1cc(Cl)ccc1OC(c1ccccc1)C1CNCCO1,6.66
CHEMBL263373,CCOc1c(Cl)cccc1OC(c1ccccc1)C1CNCCO1,6.47
CHEMBL3986502,CCOc1ccc(C2(C(CC(C)C)NCCSCC)CCC2)cc1,8.48
CHEMBL463387,CN(C)C(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,7.66
CHEMBL3323095,CN1Cc2ccccc2C(c2ccc3sccc3c2)C1,8.4
CHEMBL2205827,COc1ccc(CN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1OC,5.35
CHEMBL451652,COc1ccc(C2CCC(CN)O2)cc1,5.16
CHEMBL459333,COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2cc(I)c(N)c(I)c2)N3C)cc1.Cl,9.0
CHEMBL247472,COc1ccc(C2CN(C)Cc3cc(OCCCN4CCOCC4)ncc32)cc1,7.16
CHEMBL459332,COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OCCc2ccc(N)c(I)c2)N3C)cc1.Cl,8.46
CHEMBL486538,c1ccc(CC2(c3cnc4[nH]ccc4c3)CCNC2)cc1,7.39
CHEMBL487355,c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,7.27
CHEMBL511466,CN1C2CCC1[C@@H](c1cc(-c3ccc(F)cc3)no1)[C@@H](c1ccc(Cl)cc1)C2.Cl,6.18
CHEMBL2206523,CN1Cc2ccccc2C(c2ccc(Cl)cc2)C1,5.75
CHEMBL4229131,COCCOc1cc(CC2CCN(CCc3ccc4c(c3)C(=O)CCO4)CC2)ccc1I,9.39
CHEMBL2326691,CN1CCCCC(c2ccc(Cl)c(Cl)c2)C1,6.58
CHEMBL3704756,CCOc1ccc(C2(CC(C)CCNCCCC(N)=O)CCC2)cc1,8.26
CHEMBL400831,CSc1ccc(C2CN(C)Cc3cc(Oc4ccc(CN5CCCCC5)nc4)ccc32)cc1,8.1
CHEMBL504231,c1ccc(CCC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,7.89
CHEMBL206152,N#CCCN(Cc1ccc(F)cc1C(F)(F)F)C1CCNCC1.O=C(O)C(O)C(O)C(=O)O,9.4
CHEMBL381079,CC(C)(C#N)CN(Cc1ccc(F)cc1C(F)(F)F)C1CCNCC1.O=C(O)C(O)C(O)C(=O)O,8.38
CHEMBL207755,COCCCN(Cc1ccc(F)cc1C(F)(F)F)C1CCNCC1.O=C(O)C(O)C(O)C(=O)O,8.96
CHEMBL14305,COC(=O)C1C(c2ccc(/C=C\Br)cc2)CC2CCC1N2C,10.1
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,6.7
CHEMBL392429,CN1Cc2cc(OCCCN3CCCCC3)ncc2C(c2cccc(Cl)c2)C1,6.08
CHEMBL3323102,CN1Cc2ccccc2C(c2ccc3cc[nH]c3c2)C1,7.86
CHEMBL132955,OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,5.87
CHEMBL216015,COC(=O)/C=C1/CN2C3CCC2C1C(c1ccc(C)cc1)C3,7.01
CHEMBL428706,COC(=O)C1C2CCC(CC1c1ccc(/C=C\I)cc1)N2,10.3
CHEMBL399014,CSc1ccc(C2CN(C)Cc3cc(Oc4nc(CN5CCOCC5)cs4)ccc32)cc1,6.7
CHEMBL203488,CCCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,6.7
CHEMBL203403,CCCC(C(=O)c1ccccc1C)N1CCCC1,5.43
CHEMBL246954,CN1Cc2cc(OCCCN3CCC(F)CC3)ccc2C(c2ccc(OC(F)F)cc2)C1,8.37
CHEMBL238053,CSc1ccc(C2CN(C)Cc3cc(Oc4ccc(CN5CCC(F)CC5)cn4)ccc32)cc1,8.19
CHEMBL27979,C[C@H]1CC[C@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,5.45
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,6.57
CHEMBL4226053,COCCOc1cc(CC2CCN(CCc3ccc4c(c3)C(=O)CCC4)CC2)ccc1Br,9.17
CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,8.64
CHEMBL469889,Cc1ccc([C@H]2CC3CCC([C@H]2c2onc(C)c2-c2ccc(Cl)cc2)N3C)cc1.Cl,6.06
CHEMBL4227100,COC[C@H]1CN[C@@H]2CC[C@@]1(c1ccc(Cl)c(Cl)c1)C2,8.0
CHEMBL4228218,COCCOc1cc(Br)cc(CC2CCN(CCc3ccc4c(c3)C(=O)CCO4)CC2)c1,8.27
CHEMBL469887,COc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)on2)cc1.Cl,6.27
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,8.46
CHEMBL207894,FC(F)(F)OCCN(Cc1ccccc1C(F)(F)F)C1CCNCC1.O=C(O)C(O)C(O)C(=O)O,7.77
CHEMBL1170212,c1ccc(CC2CNCCN2c2cnc3[nH]ccc3c2)cc1,7.2
CHEMBL1170209,COc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,7.3
CHEMBL212452,C=C1CN2C3CCC2C1C(c1ccc(Br)cc1)C3,9.55
CHEMBL1170793,Clc1ccc(N2CCNCC2Cc2ccccc2)cc1Cl,7.8
CHEMBL1171424,c1cc2[nH]ncc2cc1N1CCNCC1CC1CCCCC1,7.4
CHEMBL198298,CN(C)CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,8.08
CHEMBL275212,COC(=O)C1C(c2ccc(/C=C\I)cc2)CC2CCC1N2C,9.96
CHEMBL141114,CNCCC(Oc1cccc2ccccc12)c1ccc(C)cc1,8.68
CHEMBL3663909,Cc1ccc(C2CN(C)Cc3ccccc32)o1,5.12
CHEMBL85882,NCC1c2ccccc2Cc2cc(Br)ccc21,5.92
CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,5.85
CHEMBL245516,Cc1ccc(OC(CCN(C)C)c2ccc(OCCCN3CCCCC3)cc2)cc1,7.8
CHEMBL245309,CC(C)N1CCN(C(=O)c2ccc(C(CCN(C)C)Oc3ccccc3)cc2)CC1,6.61
CHEMBL4091193,O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(Cl)c1,8.64
CHEMBL4062817,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,8.37
CHEMBL4104596,Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,7.5
CHEMBL3799795,CN(C)CCCN1c2ccccc2CCc2ccc(C#CCOCCOCCc3cccc4ccccc34)cc21,6.27
CHEMBL476839,COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(C)cc2)CC1,5.58
CHEMBL415244,CNCCC(Oc1cccc2ccccc12)c1ccc(OC)cc1,8.46
